                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.53065,                0.34428,                0.81531,                 0.9896,                      1,                  0.995,                0.90683,                0.37341,                0.27045,                0.84309,              0.0012872,              0.0012872,              0.0012872
                     38,                0.50639,                0.33283,                0.77241,                0.98945,                      1,                  0.995,                 0.8955,                 0.5014,                0.35366,                0.85518,              0.0012674,              0.0012674,              0.0012674
                     39,                0.55025,                0.33749,                 0.8206,                 0.9894,                      1,                  0.995,                0.87607,                0.52558,                0.35768,                0.84107,              0.0012476,              0.0012476,              0.0012476
                     40,                0.57458,                0.33856,                0.81812,                0.98934,                      1,                  0.995,                0.91411,                0.45422,                0.33238,                0.81859,              0.0012278,              0.0012278,              0.0012278
                     41,                0.50957,                0.33764,                0.79358,                0.98936,                      1,                  0.995,                 0.9455,                0.36254,                0.29578,                0.80912,               0.001208,               0.001208,               0.001208
                     42,                0.51042,                0.32788,                0.78184,                 0.9893,                      1,                  0.995,                0.93579,                 0.4052,                0.29405,                0.82338,              0.0011882,              0.0011882,              0.0011882
                     43,                0.51125,                 0.3317,                 0.8126,                0.98942,                      1,                  0.995,                 0.8955,                0.44312,                0.26938,                0.84432,              0.0011684,              0.0011684,              0.0011684
                     44,                0.52939,                0.31744,                0.82459,                0.98939,                      1,                  0.995,                0.88967,                0.41205,                0.28386,                 0.8433,              0.0011486,              0.0011486,              0.0011486
                     45,                0.51271,                0.32882,                0.80408,                0.98944,                      1,                  0.995,                0.94517,                0.38273,                0.27062,                0.82933,              0.0011288,              0.0011288,              0.0011288
                     46,                0.51773,                0.31668,                0.79532,                 0.9892,                      1,                  0.995,                0.94517,                0.37642,                0.26859,                0.82642,               0.001109,               0.001109,               0.001109
                     47,                0.47231,                0.30928,                0.81454,                0.98889,                      1,                  0.995,                0.93488,                0.32695,                0.24504,                0.81616,              0.0010892,              0.0010892,              0.0010892
                     48,                0.50475,                0.31823,                 0.7771,                0.98885,                      1,                  0.995,                0.93488,                 0.4148,                0.27421,                0.81491,              0.0010694,              0.0010694,              0.0010694
                     49,                0.52395,                0.33375,                 0.8101,                0.98923,                      1,                  0.995,                0.87607,                0.46091,                0.27748,                0.82277,              0.0010496,              0.0010496,              0.0010496
                     50,                0.49637,                0.31836,                0.80783,                      1,                      1,                  0.995,                0.89792,                0.44541,                0.26293,                0.83475,              0.0010298,              0.0010298,              0.0010298
                     51,                0.51371,                0.31277,                0.79084,                0.98927,                      1,                  0.995,                0.89407,                0.44504,                0.25247,                0.82629,                0.00101,                0.00101,                0.00101
                     52,                0.50439,                0.31103,                0.81941,                0.98913,                      1,                  0.995,                0.91535,                0.37649,                0.24841,                0.81433,              0.0009902,              0.0009902,              0.0009902
                     53,                0.44365,                0.29134,                0.78257,                      1,                      1,                  0.995,                 0.9295,                 0.3455,                0.22535,                0.81046,              0.0009704,              0.0009704,              0.0009704
                     54,                0.50329,                0.31892,                0.79174,                0.98905,                      1,                  0.995,                 0.9552,                0.30353,                0.21438,                0.80779,              0.0009506,              0.0009506,              0.0009506
                     55,                0.43948,                0.28875,                0.77992,                0.98809,                      1,                  0.995,                  0.995,                0.29476,                 0.2517,                0.80904,              0.0009308,              0.0009308,              0.0009308
                     56,                0.48386,                0.30138,                0.79718,                0.98863,                      1,                  0.995,                  0.964,                0.32836,                 0.2377,                0.81269,               0.000911,               0.000911,               0.000911
                     57,                0.46276,                0.29788,                0.77424,                0.98922,                      1,                  0.995,                  0.964,                0.31641,                0.24938,                0.81169,              0.0008912,              0.0008912,              0.0008912
                     58,                0.48947,                0.30518,                0.79544,                0.98918,                      1,                  0.995,                 0.9765,                0.32684,                 0.2374,                0.81034,              0.0008714,              0.0008714,              0.0008714
                     59,                0.47413,                0.29054,                0.80699,                0.98917,                      1,                  0.995,                 0.9276,                0.34931,                0.24072,                0.81498,              0.0008516,              0.0008516,              0.0008516
                     60,                0.44103,                0.27728,                0.79863,                0.98914,                      1,                  0.995,                 0.8783,                0.35061,                0.23961,                0.82054,              0.0008318,              0.0008318,              0.0008318
                     61,                0.48135,                0.30425,                0.79799,                0.98918,                      1,                  0.995,                 0.9387,                0.32331,                0.24798,                0.81819,               0.000812,               0.000812,               0.000812
                     62,                0.45893,                0.27128,                0.80378,                      1,                      1,                  0.995,                0.94125,                0.32146,                0.23847,                0.81462,              0.0007922,              0.0007922,              0.0007922
                     63,                0.45695,                0.28155,                0.81604,                      1,                      1,                  0.995,                0.94125,                0.33831,                0.24137,                0.81482,              0.0007724,              0.0007724,              0.0007724
                     64,                0.47653,                0.28989,                0.79227,                0.98928,                      1,                  0.995,                 0.9387,                0.33827,                0.23209,                0.81509,              0.0007526,              0.0007526,              0.0007526
                     65,                0.42547,                0.27945,                0.77714,                0.98931,                      1,                  0.995,                 0.9387,                0.27522,                0.19797,                0.81689,              0.0007328,              0.0007328,              0.0007328
                     66,                0.41183,                0.25917,                0.80393,                0.98951,                      1,                  0.995,                 0.9215,                0.24558,                0.19804,                0.81462,               0.000713,               0.000713,               0.000713
                     67,                0.45396,                0.28179,                0.79731,                      1,                      1,                  0.995,                0.94125,                0.28369,                0.19908,                0.81312,              0.0006932,              0.0006932,              0.0006932
                     68,                0.44026,                0.28738,                0.79962,                      1,                      1,                  0.995,                0.94125,                0.29703,                0.20897,                 0.8078,              0.0006734,              0.0006734,              0.0006734
                     69,                  0.441,                0.26984,                0.79158,                      1,                      1,                  0.995,                0.94125,                0.28166,                0.22018,                0.80515,              0.0006536,              0.0006536,              0.0006536
                     70,                0.43061,                0.26674,                0.78808,                      1,                      1,                  0.995,                0.94125,                0.26775,                0.22942,                0.80257,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47285,                0.28372,                0.76712,                      1,                      1,                  0.995,                 0.9645,                0.27699,                0.20966,                0.80493,               0.000614,               0.000614,               0.000614
                     72,                0.43002,                0.26661,                0.78781,                      1,                      1,                  0.995,                 0.9645,                0.29017,                0.21627,                0.80662,              0.0005942,              0.0005942,              0.0005942
                     73,                0.45255,                0.26343,                0.78828,                      1,                      1,                  0.995,                 0.9645,                0.30055,                0.21935,                0.80635,              0.0005744,              0.0005744,              0.0005744
                     74,                0.41227,                0.25192,                0.78337,                      1,                      1,                  0.995,                0.97975,                0.30966,                0.22907,                0.80666,              0.0005546,              0.0005546,              0.0005546
                     75,                0.43401,                0.25236,                0.79627,                      1,                      1,                  0.995,                0.97975,                0.33083,                0.21549,                 0.8091,              0.0005348,              0.0005348,              0.0005348
                     76,                0.43476,                0.25797,                 0.7881,                      1,                      1,                  0.995,                0.97975,                0.32341,                0.22964,                0.81245,               0.000515,               0.000515,               0.000515
                     77,                0.39939,                0.25217,                0.79032,                      1,                      1,                  0.995,                0.97975,                0.31355,                0.22235,                0.81121,              0.0004952,              0.0004952,              0.0004952
                     78,                0.41026,                0.25242,                0.79094,                      1,                      1,                  0.995,                0.97975,                0.31113,                0.21592,                0.80551,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.4241,                0.25308,                0.78699,                      1,                      1,                  0.995,                0.97975,                0.29033,                0.19951,                0.80362,              0.0004556,              0.0004556,              0.0004556
                     80,                0.40409,                0.25039,                0.79911,                      1,                      1,                  0.995,                0.97975,                0.28343,                 0.1927,                0.80316,              0.0004358,              0.0004358,              0.0004358
                     81,                0.42801,                0.26056,                0.78201,                      1,                      1,                  0.995,                0.97975,                0.29329,                0.19915,                0.80334,               0.000416,               0.000416,               0.000416
                     82,                0.40478,                0.23869,                0.78979,                      1,                      1,                  0.995,                0.97975,                0.29116,                0.21092,                0.80181,              0.0003962,              0.0003962,              0.0003962
                     83,                0.42093,                0.25907,                0.77169,                      1,                      1,                  0.995,                0.97975,                0.29251,                0.20788,                0.80028,              0.0003764,              0.0003764,              0.0003764
                     84,                0.41064,                 0.2475,                0.77987,                      1,                      1,                  0.995,                0.97975,                0.28923,                0.20245,                0.80088,              0.0003566,              0.0003566,              0.0003566
                     85,                0.39191,                0.24101,                0.78354,                      1,                      1,                  0.995,                0.97975,                0.29237,                0.19881,                0.80348,              0.0003368,              0.0003368,              0.0003368
